fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
second_arms_l_ring1	Second_Arms_L_Ring1	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_ring2	Second_Arms_L_Ring2	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_ring3	Second_Arms_L_Ring3	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_ring4	Second_Arms_L_Ring4	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_thumb1	Second_Arms_L_Thumb1	B	Medium		referent word(s): ['arms', 'thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_thumb2	Second_Arms_L_Thumb2	B	Medium		referent word(s): ['arms', 'thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_thumb3	Second_Arms_L_Thumb3	B	Medium		referent word(s): ['arms', 'thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_thumb4	Second_Arms_L_Thumb4	B	Medium		referent word(s): ['arms', 'thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_wrist	Second_Arms_L_Wrist	B	Medium		referent word(s): ['arms', 'wrist'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_1	Second_Arms_R_1	B	Medium		referent word(s): ['arms'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_2	Second_Arms_R_2	B	Medium		referent word(s): ['arms'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_index1	Second_Arms_R_Index1	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_index2	Second_Arms_R_Index2	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_index3	Second_Arms_R_Index3	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_index4	Second_Arms_R_Index4	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_middle1	Second_Arms_R_Middle1	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_middle2	Second_Arms_R_Middle2	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_middle3	Second_Arms_R_Middle3	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_middle4	Second_Arms_R_Middle4	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_ring1	Second_Arms_R_Ring1	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_ring2	Second_Arms_R_Ring2	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_ring3	Second_Arms_R_Ring3	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_ring4	Second_Arms_R_Ring4	B	Medium		referent word(s): ['arms', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_thumb1	Second_Arms_R_Thumb1	B	Medium		referent word(s): ['arms', 'thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_r_thumb2	Second_Arms_R_Thumb2	B	Medium		referent word(s): ['arms', 'thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
